item_id,name,description,category_id,quantity_available,created_at,updated_at
99,Flauta Traversa,Flauta de concierto en Do,5,23,2025-01-31,2025-02-05
100,Reloj de Arena Pedagógico,Material pedagógico para tiempo,9,22,2025/01/02,2025-01-14
101,Casco de Realidad Virtual,Casco VR con controladores,1,14,21/08/2025,2025-08-30
102,tablet Samsung,Tablet Android 10 pulgadas,1,25,2025-12-23,2026-01-22
103,Dron DJI Mini,Dron para fotografía aérea,1,,2025/03/21,2025-03-27
104,Amplificador de Guitarra,Amplificador 50W para guitarra,5,16,2025-04-22,2025-05-22
105,Balanza Digital,Balanza de precisión 0.01g,CAT-2,1,2025-10-24,2025-11-16
106,Mapa Mural Colombia,Mapa laminado Colombia político,10,1,18/01/2026,2026-01-28
107,Estuche de Compases,Estuche con compás regla y transportador,7,1,2025-01-26,2025-02-13
108,Saxofón Alto,Saxofón dorado con estuche,5,28,2025-09-15,2025-10-14
109,Cronómetro Deportivo,Cronómetro profesional,4,8,2025/01/30,2025-03-01
110,LENTES DE SEGURIDAD,,2,30,2025-02-11,2025-03-10
